E-kp,E-ki,E-kd,E-I-Tot,E-P,E-I,E-D,E-PID,N-kp,N-ki,N-kd,N-I-Tot,N-P,N-I,N-D,N-PID,Y-kp,Y-ki,Y-kd,Y-I-Tot,Y-P,Y-I,Y-D,Y-PID,D-kp,D-ki,D-kd,D-I-Tot,D-P,D-I,D-D,D-PID,errorN,desiredN,actualN,errorE,desiredE,actualE,errorD,desiredD,actualD,errorY,desiredY,actualY,roll,pitch,yaw-rate,thrust,dt,Time,Mode
0.04,0.0,0.0,-0.0029332691959047196,-0.0034927458789933,-0.0,-0.0,-0.0034927458789933,0.04,0.0,0.0,-0.002901743411229443,-0.0034552070282596764,-0.0,-0.0,-0.0034552070282596764,0.5,0,0,-0.0029796572807131052,-0.04434977235703878,-0.0,-0.0,-0.04434977235703878,0.002,8e-05,0.0,-0.004155409989995502,-0.0002473995761852985,-3.3243279919964017e-07,-0.0,-0.00024773200898449817,-0.08638017570649191,0.0,0.08638017570649191,-0.08731864697483249,0.0,0.08731864697483249,-0.12369978809264925,0.0,0.12369978809264925,-0.08869954471407757,0,0.08869954471407757,-0.003498090694372998,0.0034497957732742353,0.04434977235703878,0.4,0.03359270095825195,0.03381657600402832,STABILIZE
0.04,0.0,0.0,-0.006372315146265475,-0.00411646559670724,-0.0,-0.0,-0.00411646559670724,0.04,0.0,0.0,-0.006309278147016513,-0.0040787473363014925,-0.0,-0.0,-0.0040787473363014925,0.5,0,0,-0.006452341754171033,-0.051959127507839015,-0.0,-0.0,-0.051959127507839015,0.002,8e-05,0.0,-0.009412523626797162,-0.0003146327169836797,-7.53001890143773e-07,-0.0,-0.0003153857188738235,-0.10196868340753731,0.0,0.10196868340753731,-0.10291163991768099,0.0,0.10291163991768099,-0.15731635849183984,0.0,0.15731635849183984,-0.10391825501567803,0,0.10391825501567803,-0.004123856510055595,0.004071274533451766,0.051959127507839015,0.4,0.033417463302612305,0.0671994686126709,STABILIZE
0.04,0.0,0.0,-0.01025241143652568,-0.004638535952864054,-0.0,-0.0,-0.004638535952864054,0.04,0.0,0.0,-0.010161359613618923,-0.004605045091548056,-0.0,-0.0,-0.004605045091548056,0.5,0,0,-0.010342695076530635,-0.058134973996672966,-0.0,-0.0,-0.058134973996672966,0.002,8e-05,0.0,-0.015811902400269126,-0.0003825130395765791,-1.2649521920215303e-06,-0.0,-0.00038377799176860064,-0.11512612728870139,0.0,0.11512612728870139,-0.11596339882160135,0.0,0.11596339882160135,-0.19125651978828956,0.0,0.19125651978828956,-0.11626994799334593,0,0.11626994799334593,-0.004647871383307962,0.004595622665692888,0.058134973996672966,0.4,0.03345966339111328,0.10064435005187988,STABILIZE
0.04,0.0,0.0,-0.014880406011877644,-0.0050733355965571015,-0.0,-0.0,-0.0050733355965571015,0.04,0.0,0.0,-0.014789536329627657,-0.005073535264180418,-0.0,-0.0,-0.005073535264180418,0.5,0,0,-0.015003758768440359,-0.06386983595423479,-0.0,-0.0,-0.06386983595423479,0.002,8e-05,0.0,-0.024020206515884483,-0.00044990849469557254,-1.921616521270759e-06,-0.0,-0.0004518301112168433,-0.12683838160451044,0.0,0.12683838160451044,-0.12683338991392754,0.0,0.12683338991392754,-0.22495424734778627,0.0,0.22495424734778627,-0.12773967190846958,0,0.12773967190846958,-0.0050846343130474935,0.005062211774980944,0.06386983595423479,0.4,0.03648877143859863,0.13717889785766602,STABILIZE
0.04,0.0,0.0,-0.019579530027103206,-0.00561485781740806,-0.0,-0.0,-0.00561485781740806,0.04,0.0,0.0,-0.019454881265878264,-0.005574496097855045,-0.0,-0.0,-0.005574496097855045,0.5,0,0,-0.019766380357561675,-0.07113411716308629,-0.0,-0.0,-0.07113411716308629,0.002,8e-05,0.0,-0.03357411642503567,-0.0005707855928721949,-2.6859293140028535e-06,-0.0,-0.0005734715221861977,-0.13936240244637613,0.0,0.13936240244637613,-0.1403714454352015,0.0,0.1403714454352015,-0.28539279643609744,0.0,0.28539279643609744,-0.14226823432617258,0,0.14226823432617258,-0.0056286822414725055,0.005560536959614744,0.07113411716308629,0.4,0.03347635269165039,0.17061519622802734,STABILIZE
0.04,0.0,0.0,-0.02449658961196083,-0.0058807917663515775,-0.0,-0.0,-0.0058807917663515775,0.04,0.0,0.0,-0.024371838962595656,-0.0058806699083741,-0.0,-0.0,-0.0058806699083741,0.5,0,0,-0.024711426944994588,-0.07392830194990027,-0.0,-0.0,-0.07392830194990027,0.002,8e-05,0.0,-0.044207883300807244,-0.0006358980159699484,-3.53663066406458e-06,-0.0,-0.000639434646634013,-0.1470167477093525,0.0,0.1470167477093525,-0.14701979415878944,0.0,0.14701979415878944,-0.3179490079849742,0.0,0.3179490079849742,-0.14785660389980054,0,0.14785660389980054,-0.005895947734159053,0.005865474463886948,0.07392830194990027,0.4,0.033444881439208984,0.20406413078308105,STABILIZE
0.04,0.0,0.0,-0.029599497509681265,-0.006100978295409382,-0.0,-0.0,-0.006100978295409382,0.04,0.0,0.0,-0.029500846703261446,-0.0061321829690023175,-0.0,-0.0,-0.0061321829690023175,0.5,0,0,-0.02985388089399604,-0.0768532387729736,-0.0,-0.0,-0.0768532387729736,0.002,8e-05,0.0,-0.05592269739829893,-0.0007003048847450333,-4.473815791863915e-06,-0.0,-0.0007047787005368972,-0.15330457422505794,0.0,0.15330457422505794,-0.15252445738523454,0.0,0.15252445738523454,-0.35015244237251664,0.0,0.35015244237251664,-0.1537064775459472,0,0.1537064775459472,-0.006117407031788424,0.00611579392506026,0.0768532387729736,0.4,0.03345632553100586,0.23754048347473145,STABILIZE
0.04,0.0,0.0,-0.0347566100799061,-0.006171722259415885,-0.0,-0.0,-0.006171722259415885,0.04,0.0,0.0,-0.034605114308920853,-0.006108480583058165,-0.0,0.0,-0.006108480583058165,0.5,0,0,-0.0350725570840123,-0.0780674737268796,-0.0,-0.0,-0.0780674737268796,0.002,8e-05,0.0,-0.06846482506672945,-0.0007504832157300943,-5.477186005338356e-06,-0.0,-0.0007559604017354326,-0.1527120145764541,0.0,0.1527120145764541,-0.15429305648539712,0.0,0.15429305648539712,-0.3752416078650471,0.0,0.3752416078650471,-0.1561349474537592,0,0.1561349474537592,-0.006188345353748599,0.006091639554644239,0.0780674737268796,0.4,0.03342413902282715,0.27094507217407227,STABILIZE
0.04,0.0,0.0,-0.04000367772861345,-0.006276241243750953,-0.0,-0.0,-0.006276241243750953,0.04,0.0,0.0,-0.0397562832389293,-0.006161532699128098,-0.0,-0.0,-0.006161532699128098,0.5,0,0,-0.0403660622262145,-0.0791473388609779,-0.0,-0.0,-0.0791473388609779,0.002,8e-05,0.0,-0.08208631315998312,-0.0008146621226924979,-6.56690505279865e-06,-0.0,-0.0008212290277452965,-0.15403831747820246,0.0,0.15403831747820246,-0.15690603109377382,0.0,0.15690603109377382,-0.40733106134624897,0.0,0.40733106134624897,-0.1582946777219558,0,0.1582946777219558,-0.006293240125774808,0.006144169437077981,0.0791473388609779,0.4,0.03344082832336426,0.30439305305480957,STABILIZE
0.04,0.0,0.0,-0.04531411566403077,-0.006338889827045537,-0.0,-0.0,-0.006338889827045537,0.04,0.0,0.0,-0.04492341055140159,-0.00616782479230797,-0.0,-0.0,-0.00616782479230797,0.5,0,0,-0.045705253735666286,-0.07966514992621833,-0.0,-0.0,-0.07966514992621833,0.002,8e-05,0.0,-0.09679107409540891,-0.0008776287439595332,-7.743285927632713e-06,-0.0,-0.0008853720298871659,-0.15419561980769925,0.0,0.15419561980769925,-0.15847224567613843,0.0,0.15847224567613843,-0.4388143719797666,0.0,0.4388143719797666,-0.15933029985243666,0,0.15933029985243666,-0.006356017019040962,0.006150173539152525,0.07966514992621833,0.4,0.03351020812988281,0.3379077911376953,STABILIZE
