D-kp,D-ki,D-kd,D-I-Tot,D-P,D-I,D-D,D-PID,E-kp,E-ki,E-kd,E-I-Tot,E-P,E-I,E-D,E-PID,N-kp,N-ki,N-kd,N-I-Tot,N-P,N-I,N-D,N-PID,Y-kp,Y-ki,Y-kd,Y-I-Tot,Y-P,Y-I,Y-D,Y-PID,errorN,desiredN,actualN,errorE,desiredE,actualE,errorD,desiredD,actualD,errorY,desiredY,actualY,roll,pitch,yaw-rate,thrust,dt,Time,Mode
0.03,0,0,1.3428864469003627,1.1992407426022482,0.0,0.0,1.1992407426022482,0.06,0,0,-0.33677651267328484,-0.6015044921803007,-0.0,-0.0,-0.6015044921803007,0.5,0,0,-0.0008483726796465982,-0.012627067670678156,-0.0,-0.0,-0.012627067670678156,0.002,8e-05,0.0,0.3349697444206491,0.019942582932733,2.679757955365193e-05,0.0,0.019969380512286652,-10.025074869671679,-10.0,0.025074869671679444,39.97469142007494,40.0,0.02530857992505695,9.9712914663665,10.0,0.02870853363349969,-0.025254135341356312,0,0.025254135341356312,1.198975502300233,0.6020330204516832,0.012627067670678156,0.5199693805122867,0.03359341621398926,0.033805131912231445,STABILIZE
0.03,0,0,2.678614316768227,1.1984702112446366,0.0,-0.0,1.1984702112446366,0.06,0,0,-0.6728174029904983,-0.6030195309844764,-0.0,-0.0,-0.6030195309844764,0.5,0,0,-0.002543694844561099,-0.025351884403841805,-0.0,-0.0,-0.025351884403841805,0.002,8e-05,0.0,0.6672613066530675,0.01987638089899717,5.3380904532245404e-05,-0.0,0.019929761803529417,-10.05032551640794,-10.0,0.05032551640793987,39.94900704148789,40.0,0.050992958512111164,9.938190449498585,10.0,0.06180955050141623,-0.05070376880768361,0,0.05070376880768361,1.1979361012815193,0.6040798781915645,0.025351884403841805,0.5199297618035295,0.033435821533203125,0.0672309398651123,STABILIZE
0.03,0,0,4.0138906384418975,1.1972284378645477,0.0,-0.0,1.1972284378645477,0.06,0,0,-1.0104465602668071,-0.6054465611084598,-0.0,-0.0,-0.6054465611084598,0.5,0,0,-0.005610024447092266,-0.0458219388804703,-0.0,-0.0,-0.0458219388804703,0.002,8e-05,0.0,0.99756364716843,0.019743596574455204,7.980509177347441e-05,-0.0,0.019823401666228677,-10.090776018474331,-10.0,0.09077601847433063,39.90761459548492,40.0,0.0923854045150781,9.871798287227602,10.0,0.12820171277239792,-0.0916438777609406,0,0.0916438777609406,1.1962585026575099,0.6073607376257187,0.0458219388804703,0.5198234016662286,0.03345918655395508,0.10065746307373047,STABILIZE
0.03,0,0,5.349013548447317,1.1968435662073076,0.0,-0.0,1.1968435662073076,0.06,0,0,-1.3485370669202474,-0.6061486094674182,-0.0,-0.0,-0.6061486094674182,0.5,0,0,-0.009092574540647817,-0.052031010805960176,-0.0,-0.0,-0.052031010805960176,0.002,8e-05,0.0,1.3270723752880687,0.019692089684713823,0.0001061657900230455,-0.0,0.01979825547473687,-10.102476824456971,-10.0,0.10247682445697073,39.89478554024359,40.0,0.10521445975640871,9.846044842356912,10.0,0.15395515764308698,-0.10406202161192035,0,0.10406202161192035,1.1957406906157024,0.6083213456200541,0.052031010805960176,0.5197982554747369,0.03346610069274902,0.13417363166809082,STABILIZE
0.03,0,0,6.682816091103881,1.196410012876039,0.0,-0.0,1.196410012876039,0.06,0,0,-1.6868826637045338,-0.6069864869188057,-0.0,-0.0,-0.6069864869188057,0.5,0,0,-0.013039575545593114,-0.059007129018050025,-0.0,-0.0,-0.059007129018050025,0.002,8e-05,0.0,1.6552571862750614,0.0196252734259866,0.00013242057490200492,-0.0,0.019757694000888604,-10.116441448646762,-10.0,0.11644144864676208,39.88033376253464,40.0,0.11966623746536136,9.8126367129933,10.0,0.1873632870067001,-0.11801425803610005,0,0.11801425803610005,1.1951572431170507,0.609449488011048,0.059007129018050025,0.5197576940008886,0.033445119857788086,0.16758131980895996,STABILIZE
0.03,0,0,8.017103939540245,1.1960268266816811,0.0,-0.0,1.1960268266816811,0.06,0,0,-2.025855185117921,-0.6076953029190054,-0.0,-0.0,-0.6076953029190054,0.5,0,0,-0.017358678550420666,-0.06452584509193314,-0.0,-0.0,-0.06452584509193314,0.002,8e-05,0.0,1.982593904367446,0.01956117123478912,0.0001586075123493957,-0.0,0.019719778747138518,-10.128255048650091,-10.0,0.12825504865009213,39.867560889389374,40.0,0.13243911061062322,9.78058561739456,10.0,0.2194143826054387,-0.12905169018386628,0,0.12905169018386628,1.1946550351357241,0.6103876623564203,0.06452584509193314,0.5197197787471385,0.033468008041381836,0.20103907585144043,STABILIZE
0.03,0,0,9.351310114750387,1.1958087991143216,0.0,-0.0,1.1958087991143216,0.06,0,0,-2.365094386609332,-0.6080997520252857,-0.0,-0.0,-0.6080997520252857,0.5,0,0,-0.021917292542468016,-0.06809580638960969,-0.0,-0.0,-0.06809580638960969,0.002,8e-05,0.0,2.3091123486586507,0.019509909638218373,0.00018472898789269207,-0.0,0.019694638626111066,-10.134995867088094,-10.0,0.1349958670880934,39.86029330381072,40.0,0.1397066961892764,9.754954819109185,10.0,0.24504518089081428,-0.13619161277921937,0,0.13619161277921937,1.194359973982472,0.6109404594565976,0.06809580638960969,0.5196946386261111,0.03347206115722656,0.23455524444580078,STABILIZE
0.03,0,0,10.684205920660172,1.195537019441136,0.0,-0.0,1.195537019441136,0.06,0,0,-2.7043590388450904,-0.6086048876998629,-0.0,-0.0,-0.6086048876998629,0.5,0,0,-0.026770650556052305,-0.07255342275711273,-0.0,-0.0,-0.07255342275711273,0.002,8e-05,0.0,2.634332850879322,0.019447038953939372,0.00021074662807034575,-0.0,0.01965778558200972,-10.143414794997716,-10.0,0.14341479499771512,39.8512339813712,40.0,0.14876601862880062,9.723519476969686,10.0,0.27648052303031284,-0.14510684551422545,0,0.14510684551422545,1.1939918389852084,0.6116307404170251,0.07255342275711273,0.5196577855820097,0.0334467887878418,0.26796817779541016,STABILIZE
0.03,0,0,12.014695607029944,1.195125294686534,0.0,-0.0,1.195125294686534,0.06,0,0,-3.0436005940130366,-0.6094540495029892,-0.0,-0.0,-0.6094540495029892,0.5,0,0,-0.03208059847130099,-0.07949520556220768,-0.0,-0.0,-0.07949520556220768,0.002,8e-05,0.0,2.9570465442327203,0.01932538081377108,0.00023656372353861766,-0.0,0.019561944537309698,-10.157567491716486,-10.0,0.15756749171648593,39.83750982288447,40.0,0.1624901771155329,9.66269040688554,10.0,0.33730959311445996,-0.15899041112441537,0,0.15899041112441537,1.1934295177731629,0.6127680593527073,0.07949520556220768,0.5195619445373098,0.03339791297912598,0.3013594150543213,STABILIZE
0.03,0,0,13.348892014980898,1.1949914221218294,0.0,-0.0,1.1949914221218294,0.06,0,0,-3.3840137667930517,-0.6097915104930312,-0.0,-0.0,-0.6097915104930312,0.5,0,0,-0.0375769096497168,-0.08204744909092702,-0.0,-0.0,-0.08204744909092702,0.002,8e-05,0.0,3.279617070647654,0.019260982855698563,0.00026236936565181236,-0.0,0.019523352221350376,-10.16319184155052,-10.0,0.1631918415505197,39.833047404060984,40.0,0.1669525959390168,9.630491427849282,10.0,0.36950857215071853,-0.16409489818185405,0,0.16409489818185405,1.1932400829645033,0.6132114558787939,0.08204744909092702,0.5195233522213504,0.03349471092224121,0.3348968029022217,STABILIZE
