E-kp,E-ki,E-kd,E-I-Tot,E-P,E-I,E-D,E-PID,N-kp,N-ki,N-kd,N-I-Tot,N-P,N-I,N-D,N-PID,Y-kp,Y-ki,Y-kd,Y-I-Tot,Y-P,Y-I,Y-D,Y-PID,D-kp,D-ki,D-kd,D-I-Tot,D-P,D-I,D-D,D-PID,errorN,desiredN,actualN,errorE,desiredE,actualE,errorD,desiredD,actualD,errorY,desiredY,actualY,roll,pitch,yaw-rate,thrust,dt,Time,Mode
0.02,0,0.002,-0.0008492652895108025,-0.0005063544263628866,-0.0,-0.001509509503473159,-0.0020158639298360455,0.03,0,0.003,-0.0008388479807221785,-0.0007502150270304465,-0.0,-0.0022364902013105726,-0.002986705228341019,0.5,0,0,-0.0008356101564690593,-0.012455321872556954,-0.0,-0.0,-0.012455321872556954,0.002,8e-05,0.0,-0.0009553953515086252,-5.696319761774097e-05,-7.643162812069003e-08,-0.0,-5.7039629245861655e-05,-0.02500716756768155,0.0,0.02500716756768155,-0.02531772131814433,0.0,0.02531772131814433,-0.028481598808870485,0.0,0.028481598808870485,-0.024910643745113908,0,0.024910643745113908,-0.0020171622773204017,0.002985828503375432,0.012455321872556954,0.4,0.033544301986694336,0.033783912658691406,STABILIZE
0.02,0,0.002,-0.002565283372737945,-0.0010260305222529096,-0.0,-0.0015536069849149006,-0.0025796375071678104,0.03,0,0.003,-0.0025085491268937287,-0.0014975054946311246,-0.0,-0.0022340756086468763,-0.003731581103278001,0.5,0,0,-0.0025017373583076227,-0.024905002163895046,-0.0,-0.0,-0.024905002163895046,0.002,8e-05,0.0,-0.003015264387562836,-0.0001231623677799872,-2.412211510050269e-07,-0.0,-0.00012340358893099223,-0.04991684982103749,0.0,0.04991684982103749,-0.05130152611264548,0.0,0.05130152611264548,-0.06158118388999359,0.0,0.06158118388999359,-0.04981000432779009,0,0.04981000432779009,-0.0025828805766750533,0.003729337089264413,0.024905002163895046,0.4,0.033449649810791016,0.06717491149902344,STABILIZE
0.02,0,0.002,-0.005016627152782524,-0.0014645330458896647,-0.0,-0.0013098967223609142,-0.0027744297682505787,0.03,0,0.003,-0.004903117771675728,-0.0021459198865636216,-0.0,-0.0019369464049598243,-0.004082866291523446,0.5,0,0,-0.004868739957996366,-0.03535360436968034,-0.0,-0.0,-0.03535360436968034,0.002,8e-05,0.0,-0.006157705134676214,-0.00018774226431896287,-4.926164107740971e-07,-0.0,-0.00018823488072973696,-0.07153066288545405,0.0,0.07153066288545405,-0.07322665229448323,0.0,0.07322665229448323,-0.09387113215948144,0.0,0.09387113215948144,-0.07070720873936068,0,0.07070720873936068,-0.0027794662118222485,0.004079439332892678,0.03535360436968034,0.4,0.03347611427307129,0.10065484046936035,STABILIZE
0.02,0,0.002,-0.008516897528772308,-0.0020706032239955234,-0.0,-0.001792619897825279,-0.0038632231218208024,0.03,0,0.003,-0.008282900464265018,-0.0029989921582989493,-0.0,-0.0025231967911291285,-0.005522188949428078,0.5,0,0,-0.008133596561791984,-0.04828357443523678,-0.0,-0.0,-0.04828357443523678,0.002,8e-05,0.0,-0.011303393764671621,-0.0003043958986720485,-9.042715011737298e-07,-0.0,-0.00030530017017322224,-0.09996640527663164,0.0,0.09996640527663164,-0.10353016119977616,0.0,0.10353016119977616,-0.15219794933602426,0.0,0.15219794933602426,-0.09656714887047356,0,0.09656714887047356,-0.0038725248088513596,0.005515669976257388,0.04828357443523678,0.4,0.03380918502807617,0.13446903228759766,STABILIZE
0.02,0,0.002,-0.012639212613740534,-0.0022699096972151754,-0.0,-0.0005487301273121045,-0.00281863982452728,0.03,0,0.003,-0.012271859888454278,-0.0032947181955287827,-0.0,-0.0008141922509450642,-0.004108910446473847,0.5,0,0,-0.011976839874959141,-0.052906043603546796,-0.0,-0.0,-0.052906043603546796,0.002,8e-05,0.0,-0.017754854990096547,-0.0003552429665116831,-1.420388399207724e-06,-0.0,-0.00035666335491089083,-0.10982393985095942,0.0,0.10982393985095942,-0.11349548486075876,0.0,0.11349548486075876,-0.17762148325584154,0.0,0.17762148325584154,-0.10581208720709359,0,0.10581208720709359,-0.00282622322336037,0.004103698065073941,0.052906043603546796,0.4,0.036321401596069336,0.17078900337219238,STABILIZE
0.02,0,0.002,-0.016844713985179706,-0.0025145622432903004,-0.0,-0.0007314158298262825,-0.0032459780731165827,0.03,0,0.003,-0.01627165621835678,-0.0035873499769833884,-0.0,-0.0008748550575085391,-0.004462205034491927,0.5,0,0,-0.01584935523903583,-0.05788656369963612,-0.0,-0.0,-0.05788656369963612,0.002,8e-05,0.0,-0.024718839468211264,-0.00041639202760584016,-1.977507157456901e-06,-0.0,-0.00041836953476329704,-0.11957833256611296,0.0,0.11957833256611296,-0.12572811216451502,0.0,0.12572811216451502,-0.20819601380292008,0.0,0.20819601380292008,-0.11577312739927224,0,0.11577312739927224,-0.0032549878712725758,0.004455637034012889,0.05788656369963612,0.4,0.03344917297363281,0.2042396068572998,STABILIZE
0.02,0,0.002,-0.021390667968091314,-0.0027184170307229184,-0.0,-0.0006095115877045212,-0.0033279286184274394,0.03,0,0.003,-0.020574946885386074,-0.0038599616322702954,-0.0,-0.0008150898241504506,-0.004675051456420746,0.5,0,0,-0.020000534733647136,-0.062058684921572405,-0.0,-0.0,-0.062058684921572405,0.002,8e-05,0.0,-0.032730352173603414,-0.00047907727755401103,-2.6184281738882735e-06,-0.0,-0.0004816957057278993,-0.12866538774234318,0.0,0.12866538774234318,-0.13592085153614591,0.0,0.13592085153614591,-0.2395386387770055,0.0,0.2395386387770055,-0.12411736984314481,0,0.12411736984314481,-0.0033380481639104414,0.004667831344954982,0.062058684921572405,0.4,0.03344559669494629,0.23769116401672363,STABILIZE
0.02,0,0.002,-0.026236412429797216,-0.002799849208063052,-0.0,-0.00023525571667924814,-0.0030351049247423004,0.03,0,0.003,-0.025166728226179345,-0.003979665700146969,-0.0,-0.000345822341948718,-0.004325488042095687,0.5,0,0,-0.024419768446092095,-0.06383533071035428,-0.0,-0.0,-0.06383533071035428,0.002,8e-05,0.0,-0.041936347317955584,-0.0005319182308939323,-3.354907785436447e-06,-0.0,-0.0005352731386793687,-0.13265552333823233,0.0,0.13265552333823233,-0.1399924604031526,0.0,0.1399924604031526,-0.26595911544696615,0.0,0.26595911544696615,-0.12767066142070857,0,0.12767066142070857,-0.003044735751760477,0.0043187142656651075,0.06383533071035428,0.4,0.03461432456970215,0.27229809761047363,STABILIZE
0.02,0,0.002,-0.03111171580580674,-0.0029154672860945926,-0.0,-0.0003457023062819024,-0.003261169592376495,0.03,0,0.003,-0.029774879852051808,-0.004133562861145893,-0.0,-0.00046015817243607416,-0.004593721033581967,0.5,0,0,-0.028847278411583622,-0.06619208830555821,-0.0,-0.0,-0.06619208830555821,0.002,8e-05,0.0,-0.05183284452741284,-0.0005918178139042373,-4.146627562193027e-06,-0.0,-0.0005959644414664303,-0.1377854287048631,0.0,0.1377854287048631,-0.14577336430472962,0.0,0.14577336430472962,-0.29590890695211863,0.0,0.29590890695211863,-0.13238417661111643,0,0.13238417661111643,-0.003271774852997952,0.004586173716280783,0.06619208830555821,0.4,0.03344440460205078,0.30574989318847656,STABILIZE
0.02,0,0.002,-0.03620590520429886,-0.003043390422660736,-0.0,-0.00038212168630534255,-0.0034255121089660783,0.03,0,0.003,-0.03449532653522487,-0.004230161396384844,-0.0,-0.000288551361160913,-0.004518712757545756,0.5,0,0,-0.03346516445576629,-0.06897088555425615,-0.0,-0.0,-0.06897088555425615,0.002,8e-05,0.0,-0.06351903049218416,-0.0006981606622860303,-5.0815224393747335e-06,-0.0,-0.0007032421847254051,-0.1410053798794948,0.0,0.1410053798794948,-0.15216952113303678,0.0,0.15216952113303678,-0.3490803311430152,0.0,0.3490803311430152,-0.1379417711085123,0,0.1379417711085123,-0.003436381143961709,0.0045104526188958485,0.06897088555425615,0.4,0.033477067947387695,0.33922910690307617,STABILIZE
0.02,0,0.002,-0.04145412710908847,-0.003136664096289702,-0.0,-0.0002787307668279231,-0.003415394863117625,0.03,0,0.003,-0.039364937340239305,-0.004365573803497211,-0.0,-0.0004046544175217688,-0.00477022822101898,0.5,0,0,-0.03818789875788276,-0.07056499987283969,-0.0,-0.0,-0.07056499987283969,0.002,8e-05,0.0,-0.07607031724933333,-0.0007501430245824265,-6.0856253799466665e-06,-0.0,-0.0007562286499623732,-0.14551912678324036,0.0,0.14551912678324036,-0.1568332048144851,0.0,0.1568332048144851,-0.3750715122912132,0.0,0.3750715122912132,-0.14112999974567939,0,0.14112999974567939,-0.0034271344360433565,0.004761801015256932,0.07056499987283969,0.4,0.03346371650695801,0.3727097511291504,STABILIZE
0.02,0,0.002,-0.04675241404840865,-0.003164511830306858,-0.0,-8.316318534065353e-05,-0.0032476750156475117,0.03,0,0.003,-0.04416452295195604,-0.004299978169207173,-0.0,0.00019589176945741232,-0.004104086399749761,0.5,0,0,-0.042854889372975324,-0.0696864249828948,-0.0,0.0,-0.0696864249828948,0.002,8e-05,0.0,-0.08960952252073369,-0.0008086571328618308,-7.168761801658696e-06,-0.0,-0.0008158258946634894,-0.1433326056402391,0.0,0.1433326056402391,-0.1582255915153429,0.0,0.1582255915153429,-0.40432856643091536,0.0,0.40432856643091536,-0.1393728499657896,0,0.1393728499657896,-0.0032576486495698854,0.0040961742467609365,0.0696864249828948,0.4,0.03348565101623535,0.4061696529388428,STABILIZE
0.02,0,0.002,-0.05205355389665216,-0.0031720879769521356,-0.0,-2.2667015371300947e-05,-0.0031947549923234367,0.03,0,0.003,-0.048839420284365144,-0.004196036903233388,-0.0,0.00031098108099702137,-0.0038850558222363663,0.5,0,0,-0.04741433728492935,-0.06820688718408867,-0.0,0.0,-0.06820688718408867,0.002,8e-05,0.0,-0.1040816982782033,-0.0008659838456406397,-8.326535862256264e-06,-0.0,-0.000874310381502896,-0.13986789677444625,0.0,0.13986789677444625,-0.15860439884760677,0.0,0.15860439884760677,-0.43299192282031984,0.0,0.43299192282031984,-0.13641377436817734,0,0.13641377436817734,-0.0032039957397345356,0.003877438523385143,0.06820688718408867,0.4,0.033423662185668945,0.4396238327026367,STABILIZE
0.02,0,0.002,-0.05731268767607457,-0.003142245435874409,-0.0,8.915212317215386e-05,-0.0030530933127022554,0.03,0,0.003,-0.05354598316612723,-0.0042181401978417755,-0.0,-6.603176446352347e-05,-0.004284171962305299,0.5,0,0,-0.051897917606162636,-0.06697162684801902,-0.0,0.0,-0.06697162684801902,0.002,8e-05,0.0,-0.11953049658813236,-0.0009230401433988669,-9.56243972705059e-06,-0.0,-0.0009326025831259175,-0.14060467326139253,0.0,0.14060467326139253,-0.15711227179372045,0.0,0.15711227179372045,-0.46152007169943343,0.0,0.46152007169943343,-0.13394325369603804,0,0.13394325369603804,-0.0030631002872660244,0.004277022890846022,0.06697162684801902,0.4,0.03347373008728027,0.4730796813964844,STABILIZE
