adaptiveThreshWinSizeMin,adaptiveThreshWinSizeMax,adaptiveThreshWinSizeStep,foundA,foundB,Total Found,Thresh1,Thresh2,Cam A Imgs,Cam B Imgs
3,6,3,96,92,188,3,6,105,105
3,7,3,96,92,188,3,6,105,105
3,7,4,96,92,188,3,7,105,105
3,8,3,96,92,188,3,6,105,105
3,8,4,96,92,188,3,7,105,105
3,8,5,95,90,185,3,8,105,105
3,9,4,96,92,188,3,7,105,105
3,9,5,95,90,185,3,8,105,105
3,9,6,95,90,185,3,9,105,105
3,10,4,96,92,188,3,7,105,105
3,10,5,95,90,185,3,8,105,105
3,10,6,95,90,185,3,9,105,105
3,10,7,95,90,185,3,10,105,105
3,11,5,95,90,185,3,8,105,105
3,11,6,95,90,185,3,9,105,105
3,11,7,95,90,185,3,10,105,105
3,11,8,95,90,185,3,11,105,105
3,12,5,95,90,185,3,8,105,105
3,12,6,95,90,185,3,9,105,105
3,12,7,95,90,185,3,10,105,105
3,12,8,95,90,185,3,11,105,105
3,12,9,95,90,185,3,12,105,105
3,13,6,95,90,185,3,9,105,105
3,13,7,95,90,185,3,10,105,105
3,13,8,95,90,185,3,11,105,105
3,13,9,95,90,185,3,12,105,105
3,13,10,95,90,185,3,13,105,105
3,14,6,95,90,185,3,9,105,105
3,14,7,95,90,185,3,10,105,105
3,14,8,95,90,185,3,11,105,105
3,14,9,95,90,185,3,12,105,105
3,14,10,95,90,185,3,13,105,105
3,14,11,95,90,185,3,14,105,105
3,15,7,95,90,185,3,10,105,105
3,15,8,95,90,185,3,11,105,105
3,15,9,95,90,185,3,12,105,105
3,15,10,95,90,185,3,13,105,105
3,15,11,95,90,185,3,14,105,105
3,15,12,95,90,185,3,15,105,105
3,16,7,95,90,185,3,10,105,105
3,16,8,95,90,185,3,11,105,105
3,16,9,95,90,185,3,12,105,105
3,16,10,95,90,185,3,13,105,105
3,16,11,95,90,185,3,14,105,105
3,16,12,95,90,185,3,15,105,105
3,16,13,95,88,183,3,16,105,105
3,17,8,95,90,185,3,11,105,105
3,17,9,95,90,185,3,12,105,105
3,17,10,95,90,185,3,13,105,105
3,17,11,95,90,185,3,14,105,105
3,17,12,95,90,185,3,15,105,105
3,17,13,95,88,183,3,16,105,105
3,17,14,95,88,183,3,17,105,105
3,18,8,95,90,185,3,11,105,105
3,18,9,95,90,185,3,12,105,105
3,18,10,95,90,185,3,13,105,105
3,18,11,95,90,185,3,14,105,105
3,18,12,95,90,185,3,15,105,105
3,18,13,95,88,183,3,16,105,105
3,18,14,95,88,183,3,17,105,105
3,18,15,95,87,182,3,18,105,105
3,19,9,95,90,185,3,12,105,105
3,19,10,95,90,185,3,13,105,105
3,19,11,95,90,185,3,14,105,105
3,19,12,95,90,185,3,15,105,105
3,19,13,95,88,183,3,16,105,105
3,19,14,95,88,183,3,17,105,105
3,19,15,95,87,182,3,18,105,105
3,19,16,95,87,182,3,19,105,105
3,20,9,95,90,185,3,12,105,105
3,20,10,95,90,185,3,13,105,105
3,20,11,95,90,185,3,14,105,105
3,20,12,95,90,185,3,15,105,105
3,20,13,95,88,183,3,16,105,105
3,20,14,95,88,183,3,17,105,105
3,20,15,95,87,182,3,18,105,105
3,20,16,95,87,182,3,19,105,105
3,20,17,95,87,182,3,20,105,105
3,21,10,95,90,185,3,13,105,105
3,21,11,95,90,185,3,14,105,105
3,21,12,95,90,185,3,15,105,105
3,21,13,95,88,183,3,16,105,105
3,21,14,95,88,183,3,17,105,105
3,21,15,95,87,182,3,18,105,105
3,21,16,95,87,182,3,19,105,105
3,21,17,95,87,182,3,20,105,105
3,21,18,95,87,182,3,21,105,105
3,22,10,95,90,185,3,13,105,105
3,22,11,95,90,185,3,14,105,105
3,22,12,95,90,185,3,15,105,105
3,22,13,95,88,183,3,16,105,105
3,22,14,95,88,183,3,17,105,105
3,22,15,95,87,182,3,18,105,105
3,22,16,95,87,182,3,19,105,105
3,22,17,95,87,182,3,20,105,105
3,22,18,95,87,182,3,21,105,105
3,22,19,95,86,181,3,22,105,105
3,23,11,95,90,185,3,14,105,105
3,23,12,95,90,185,3,15,105,105
3,23,13,95,88,183,3,16,105,105
3,23,14,95,88,183,3,17,105,105
3,23,15,95,87,182,3,18,105,105
3,23,16,95,87,182,3,19,105,105
3,23,17,95,87,182,3,20,105,105
3,23,18,95,87,182,3,21,105,105
3,23,19,95,86,181,3,22,105,105
3,23,20,95,86,181,3,23,105,105
3,24,11,95,90,185,3,14,105,105
3,24,12,95,90,185,3,15,105,105
3,24,13,95,88,183,3,16,105,105
3,24,14,95,88,183,3,17,105,105
3,24,15,95,87,182,3,18,105,105
3,24,16,95,87,182,3,19,105,105
3,24,17,95,87,182,3,20,105,105
3,24,18,95,87,182,3,21,105,105
3,24,19,95,86,181,3,22,105,105
3,24,20,95,86,181,3,23,105,105
3,24,21,94,85,179,3,24,105,105
3,25,12,95,90,185,3,15,105,105
3,25,13,95,88,183,3,16,105,105
3,25,14,95,88,183,3,17,105,105
3,25,15,95,87,182,3,18,105,105
3,25,16,95,87,182,3,19,105,105
3,25,17,95,87,182,3,20,105,105
3,25,18,95,87,182,3,21,105,105
3,25,19,95,86,181,3,22,105,105
3,25,20,95,86,181,3,23,105,105
3,25,21,94,85,179,3,24,105,105
3,25,22,94,85,179,3,25,105,105
3,26,12,95,90,185,3,15,105,105
3,26,13,95,88,183,3,16,105,105
3,26,14,95,88,183,3,17,105,105
3,26,15,95,87,182,3,18,105,105
3,26,16,95,87,182,3,19,105,105
3,26,17,95,87,182,3,20,105,105
3,26,18,95,87,182,3,21,105,105
3,26,19,95,86,181,3,22,105,105
3,26,20,95,86,181,3,23,105,105
3,26,21,94,85,179,3,24,105,105
3,26,22,94,85,179,3,25,105,105
3,26,23,93,84,177,3,26,105,105
3,27,13,95,88,183,3,16,105,105
3,27,14,95,88,183,3,17,105,105
3,27,15,95,87,182,3,18,105,105
3,27,16,95,87,182,3,19,105,105
3,27,17,95,87,182,3,20,105,105
3,27,18,95,87,182,3,21,105,105
3,27,19,95,86,181,3,22,105,105
3,27,20,95,86,181,3,23,105,105
3,27,21,94,85,179,3,24,105,105
3,27,22,94,85,179,3,25,105,105
3,27,23,93,84,177,3,26,105,105
3,27,24,93,84,177,3,27,105,105
3,28,13,95,88,183,3,16,105,105
3,28,14,95,88,183,3,17,105,105
3,28,15,95,87,182,3,18,105,105
3,28,16,95,87,182,3,19,105,105
3,28,17,95,87,182,3,20,105,105
3,28,18,95,87,182,3,21,105,105
3,28,19,95,86,181,3,22,105,105
3,28,20,95,86,181,3,23,105,105
3,28,21,94,85,179,3,24,105,105
3,28,22,94,85,179,3,25,105,105
3,28,23,93,84,177,3,26,105,105
3,28,24,93,84,177,3,27,105,105
3,28,25,93,84,177,3,28,105,105
3,29,14,95,88,183,3,17,105,105
3,29,15,95,87,182,3,18,105,105
3,29,16,95,87,182,3,19,105,105
3,29,17,95,87,182,3,20,105,105
3,29,18,95,87,182,3,21,105,105
3,29,19,95,86,181,3,22,105,105
3,29,20,95,86,181,3,23,105,105
3,29,21,94,85,179,3,24,105,105
3,29,22,94,85,179,3,25,105,105
3,29,23,93,84,177,3,26,105,105
3,29,24,93,84,177,3,27,105,105
3,29,25,93,84,177,3,28,105,105
3,29,26,93,84,177,3,29,105,105
4,7,3,103,102,205,4,7,105,105
4,8,3,103,102,205,4,7,105,105
4,8,4,103,102,205,4,8,105,105
4,9,3,103,102,205,4,7,105,105
4,9,4,103,102,205,4,8,105,105
4,9,5,103,102,205,4,9,105,105
4,10,4,103,102,205,4,8,105,105
4,10,5,103,102,205,4,9,105,105
4,10,6,103,102,205,4,10,105,105
4,11,4,103,102,205,4,8,105,105
4,11,5,103,102,205,4,9,105,105
4,11,6,103,102,205,4,10,105,105
4,11,7,103,102,205,4,11,105,105
4,12,5,103,102,205,4,9,105,105
4,12,6,103,102,205,4,10,105,105
4,12,7,103,102,205,4,11,105,105
4,12,8,103,102,205,4,12,105,105
4,13,5,103,102,205,4,9,105,105
4,13,6,103,102,205,4,10,105,105
4,13,7,103,102,205,4,11,105,105
4,13,8,103,102,205,4,12,105,105
4,13,9,103,102,205,4,13,105,105
4,14,6,103,102,205,4,10,105,105
4,14,7,103,102,205,4,11,105,105
4,14,8,103,102,205,4,12,105,105
4,14,9,103,102,205,4,13,105,105
4,14,10,103,102,205,4,14,105,105
4,15,6,103,102,205,4,10,105,105
4,15,7,103,102,205,4,11,105,105
4,15,8,103,102,205,4,12,105,105
4,15,9,103,102,205,4,13,105,105
4,15,10,103,102,205,4,14,105,105
4,15,11,103,102,205,4,15,105,105
4,16,7,103,102,205,4,11,105,105
4,16,8,103,102,205,4,12,105,105
4,16,9,103,102,205,4,13,105,105
4,16,10,103,102,205,4,14,105,105
4,16,11,103,102,205,4,15,105,105
4,16,12,103,102,205,4,16,105,105
4,17,7,103,102,205,4,11,105,105
4,17,8,103,102,205,4,12,105,105
4,17,9,103,102,205,4,13,105,105
4,17,10,103,102,205,4,14,105,105
4,17,11,103,102,205,4,15,105,105
4,17,12,103,102,205,4,16,105,105
4,17,13,103,102,205,4,17,105,105
4,18,8,103,102,205,4,12,105,105
4,18,9,103,102,205,4,13,105,105
4,18,10,103,102,205,4,14,105,105
4,18,11,103,102,205,4,15,105,105
4,18,12,103,102,205,4,16,105,105
4,18,13,103,102,205,4,17,105,105
4,18,14,103,102,205,4,18,105,105
4,19,8,103,102,205,4,12,105,105
4,19,9,103,102,205,4,13,105,105
4,19,10,103,102,205,4,14,105,105
4,19,11,103,102,205,4,15,105,105
4,19,12,103,102,205,4,16,105,105
4,19,13,103,102,205,4,17,105,105
4,19,14,103,102,205,4,18,105,105
4,19,15,103,102,205,4,19,105,105
4,20,9,103,102,205,4,13,105,105
4,20,10,103,102,205,4,14,105,105
4,20,11,103,102,205,4,15,105,105
4,20,12,103,102,205,4,16,105,105
4,20,13,103,102,205,4,17,105,105
4,20,14,103,102,205,4,18,105,105
4,20,15,103,102,205,4,19,105,105
4,20,16,103,102,205,4,20,105,105
4,21,9,103,102,205,4,13,105,105
4,21,10,103,102,205,4,14,105,105
4,21,11,103,102,205,4,15,105,105
4,21,12,103,102,205,4,16,105,105
4,21,13,103,102,205,4,17,105,105
4,21,14,103,102,205,4,18,105,105
4,21,15,103,102,205,4,19,105,105
4,21,16,103,102,205,4,20,105,105
4,21,17,103,102,205,4,21,105,105
4,22,10,103,102,205,4,14,105,105
4,22,11,103,102,205,4,15,105,105
4,22,12,103,102,205,4,16,105,105
4,22,13,103,102,205,4,17,105,105
4,22,14,103,102,205,4,18,105,105
4,22,15,103,102,205,4,19,105,105
4,22,16,103,102,205,4,20,105,105
4,22,17,103,102,205,4,21,105,105
4,22,18,103,102,205,4,22,105,105
4,23,10,103,102,205,4,14,105,105
4,23,11,103,102,205,4,15,105,105
4,23,12,103,102,205,4,16,105,105
4,23,13,103,102,205,4,17,105,105
4,23,14,103,102,205,4,18,105,105
4,23,15,103,102,205,4,19,105,105
4,23,16,103,102,205,4,20,105,105
4,23,17,103,102,205,4,21,105,105
4,23,18,103,102,205,4,22,105,105
4,23,19,103,102,205,4,23,105,105
4,24,11,103,102,205,4,15,105,105
4,24,12,103,102,205,4,16,105,105
4,24,13,103,102,205,4,17,105,105
4,24,14,103,102,205,4,18,105,105
4,24,15,103,102,205,4,19,105,105
4,24,16,103,102,205,4,20,105,105
4,24,17,103,102,205,4,21,105,105
4,24,18,103,102,205,4,22,105,105
4,24,19,103,102,205,4,23,105,105
4,24,20,102,101,203,4,24,105,105
4,25,11,103,102,205,4,15,105,105
4,25,12,103,102,205,4,16,105,105
4,25,13,103,102,205,4,17,105,105
4,25,14,103,102,205,4,18,105,105
4,25,15,103,102,205,4,19,105,105
4,25,16,103,102,205,4,20,105,105
4,25,17,103,102,205,4,21,105,105
4,25,18,103,102,205,4,22,105,105
4,25,19,103,102,205,4,23,105,105
4,25,20,102,101,203,4,24,105,105
4,25,21,102,101,203,4,25,105,105
4,26,12,103,102,205,4,16,105,105
4,26,13,103,102,205,4,17,105,105
4,26,14,103,102,205,4,18,105,105
4,26,15,103,102,205,4,19,105,105
4,26,16,103,102,205,4,20,105,105
4,26,17,103,102,205,4,21,105,105
4,26,18,103,102,205,4,22,105,105
4,26,19,103,102,205,4,23,105,105
4,26,20,102,101,203,4,24,105,105
4,26,21,102,101,203,4,25,105,105
4,26,22,102,101,203,4,26,105,105
4,27,12,103,102,205,4,16,105,105
4,27,13,103,102,205,4,17,105,105
4,27,14,103,102,205,4,18,105,105
4,27,15,103,102,205,4,19,105,105
4,27,16,103,102,205,4,20,105,105
4,27,17,103,102,205,4,21,105,105
4,27,18,103,102,205,4,22,105,105
4,27,19,103,102,205,4,23,105,105
4,27,20,102,101,203,4,24,105,105
4,27,21,102,101,203,4,25,105,105
4,27,22,102,101,203,4,26,105,105
4,27,23,102,101,203,4,27,105,105
4,28,13,103,102,205,4,17,105,105
4,28,14,103,102,205,4,18,105,105
4,28,15,103,102,205,4,19,105,105
4,28,16,103,102,205,4,20,105,105
4,28,17,103,102,205,4,21,105,105
4,28,18,103,102,205,4,22,105,105
4,28,19,103,102,205,4,23,105,105
4,28,20,102,101,203,4,24,105,105
4,28,21,102,101,203,4,25,105,105
4,28,22,102,101,203,4,26,105,105
4,28,23,102,101,203,4,27,105,105
4,28,24,102,101,203,4,28,105,105
4,29,13,103,102,205,4,17,105,105
4,29,14,103,102,205,4,18,105,105
4,29,15,103,102,205,4,19,105,105
4,29,16,103,102,205,4,20,105,105
4,29,17,103,102,205,4,21,105,105
4,29,18,103,102,205,4,22,105,105
4,29,19,103,102,205,4,23,105,105
4,29,20,102,101,203,4,24,105,105
4,29,21,102,101,203,4,25,105,105
4,29,22,102,101,203,4,26,105,105
4,29,23,102,101,203,4,27,105,105
4,29,24,102,101,203,4,28,105,105
4,29,25,102,101,203,4,29,105,105
5,8,3,103,102,205,5,8,105,105
5,9,3,103,102,205,5,8,105,105
5,9,4,103,102,205,5,9,105,105
5,10,3,103,102,205,5,8,105,105
5,10,4,103,102,205,5,9,105,105
5,10,5,103,102,205,5,10,105,105
5,11,4,103,102,205,5,9,105,105
5,11,5,103,102,205,5,10,105,105
5,11,6,103,102,205,5,11,105,105
5,12,4,103,102,205,5,9,105,105
5,12,5,103,102,205,5,10,105,105
5,12,6,103,102,205,5,11,105,105
5,12,7,103,102,205,5,12,105,105
5,13,5,103,102,205,5,10,105,105
5,13,6,103,102,205,5,11,105,105
5,13,7,103,102,205,5,12,105,105
5,13,8,103,102,205,5,13,105,105
5,14,5,103,102,205,5,10,105,105
5,14,6,103,102,205,5,11,105,105
5,14,7,103,102,205,5,12,105,105
5,14,8,103,102,205,5,13,105,105
5,14,9,103,102,205,5,14,105,105
5,15,6,103,102,205,5,11,105,105
5,15,7,103,102,205,5,12,105,105
5,15,8,103,102,205,5,13,105,105
5,15,9,103,102,205,5,14,105,105
5,15,10,103,102,205,5,15,105,105
5,16,6,103,102,205,5,11,105,105
5,16,7,103,102,205,5,12,105,105
5,16,8,103,102,205,5,13,105,105
5,16,9,103,102,205,5,14,105,105
5,16,10,103,102,205,5,15,105,105
5,16,11,103,102,205,5,16,105,105
5,17,7,103,102,205,5,12,105,105
5,17,8,103,102,205,5,13,105,105
5,17,9,103,102,205,5,14,105,105
5,17,10,103,102,205,5,15,105,105
5,17,11,103,102,205,5,16,105,105
5,17,12,103,102,205,5,17,105,105
5,18,7,103,102,205,5,12,105,105
5,18,8,103,102,205,5,13,105,105
5,18,9,103,102,205,5,14,105,105
5,18,10,103,102,205,5,15,105,105
5,18,11,103,102,205,5,16,105,105
5,18,12,103,102,205,5,17,105,105
5,18,13,103,102,205,5,18,105,105
5,19,8,103,102,205,5,13,105,105
5,19,9,103,102,205,5,14,105,105
5,19,10,103,102,205,5,15,105,105
5,19,11,103,102,205,5,16,105,105
5,19,12,103,102,205,5,17,105,105
5,19,13,103,102,205,5,18,105,105
5,19,14,103,102,205,5,19,105,105
5,20,8,103,102,205,5,13,105,105
5,20,9,103,102,205,5,14,105,105
5,20,10,103,102,205,5,15,105,105
5,20,11,103,102,205,5,16,105,105
5,20,12,103,102,205,5,17,105,105
5,20,13,103,102,205,5,18,105,105
5,20,14,103,102,205,5,19,105,105
5,20,15,103,102,205,5,20,105,105
5,21,9,103,102,205,5,14,105,105
5,21,10,103,102,205,5,15,105,105
5,21,11,103,102,205,5,16,105,105
5,21,12,103,102,205,5,17,105,105
5,21,13,103,102,205,5,18,105,105
5,21,14,103,102,205,5,19,105,105
5,21,15,103,102,205,5,20,105,105
5,21,16,103,102,205,5,21,105,105
5,22,9,103,102,205,5,14,105,105
5,22,10,103,102,205,5,15,105,105
5,22,11,103,102,205,5,16,105,105
5,22,12,103,102,205,5,17,105,105
5,22,13,103,102,205,5,18,105,105
5,22,14,103,102,205,5,19,105,105
5,22,15,103,102,205,5,20,105,105
5,22,16,103,102,205,5,21,105,105
5,22,17,103,102,205,5,22,105,105
5,23,10,103,102,205,5,15,105,105
5,23,11,103,102,205,5,16,105,105
5,23,12,103,102,205,5,17,105,105
5,23,13,103,102,205,5,18,105,105
5,23,14,103,102,205,5,19,105,105
5,23,15,103,102,205,5,20,105,105
5,23,16,103,102,205,5,21,105,105
5,23,17,103,102,205,5,22,105,105
5,23,18,103,102,205,5,23,105,105
5,24,10,103,102,205,5,15,105,105
5,24,11,103,102,205,5,16,105,105
5,24,12,103,102,205,5,17,105,105
5,24,13,103,102,205,5,18,105,105
5,24,14,103,102,205,5,19,105,105
5,24,15,103,102,205,5,20,105,105
5,24,16,103,102,205,5,21,105,105
5,24,17,103,102,205,5,22,105,105
5,24,18,103,102,205,5,23,105,105
5,24,19,102,101,203,5,24,105,105
5,25,11,103,102,205,5,16,105,105
5,25,12,103,102,205,5,17,105,105
5,25,13,103,102,205,5,18,105,105
5,25,14,103,102,205,5,19,105,105
5,25,15,103,102,205,5,20,105,105
5,25,16,103,102,205,5,21,105,105
5,25,17,103,102,205,5,22,105,105
5,25,18,103,102,205,5,23,105,105
5,25,19,102,101,203,5,24,105,105
5,25,20,102,101,203,5,25,105,105
5,26,11,103,102,205,5,16,105,105
5,26,12,103,102,205,5,17,105,105
5,26,13,103,102,205,5,18,105,105
5,26,14,103,102,205,5,19,105,105
5,26,15,103,102,205,5,20,105,105
5,26,16,103,102,205,5,21,105,105
5,26,17,103,102,205,5,22,105,105
5,26,18,103,102,205,5,23,105,105
5,26,19,102,101,203,5,24,105,105
5,26,20,102,101,203,5,25,105,105
5,26,21,102,101,203,5,26,105,105
5,27,12,103,102,205,5,17,105,105
5,27,13,103,102,205,5,18,105,105
5,27,14,103,102,205,5,19,105,105
5,27,15,103,102,205,5,20,105,105
5,27,16,103,102,205,5,21,105,105
5,27,17,103,102,205,5,22,105,105
5,27,18,103,102,205,5,23,105,105
5,27,19,102,101,203,5,24,105,105
5,27,20,102,101,203,5,25,105,105
5,27,21,102,101,203,5,26,105,105
5,27,22,102,101,203,5,27,105,105
5,28,12,103,102,205,5,17,105,105
5,28,13,103,102,205,5,18,105,105
5,28,14,103,102,205,5,19,105,105
5,28,15,103,102,205,5,20,105,105
5,28,16,103,102,205,5,21,105,105
5,28,17,103,102,205,5,22,105,105
5,28,18,103,102,205,5,23,105,105
5,28,19,102,101,203,5,24,105,105
5,28,20,102,101,203,5,25,105,105
5,28,21,102,101,203,5,26,105,105
5,28,22,102,101,203,5,27,105,105
5,28,23,102,101,203,5,28,105,105
5,29,13,103,102,205,5,18,105,105
5,29,14,103,102,205,5,19,105,105
5,29,15,103,102,205,5,20,105,105
5,29,16,103,102,205,5,21,105,105
5,29,17,103,102,205,5,22,105,105
5,29,18,103,102,205,5,23,105,105
5,29,19,102,101,203,5,24,105,105
5,29,20,102,101,203,5,25,105,105
5,29,21,102,101,203,5,26,105,105
5,29,22,102,101,203,5,27,105,105
5,29,23,102,101,203,5,28,105,105
5,29,24,102,101,203,5,29,105,105
6,9,3,103,103,206,6,9,105,105
6,10,3,103,103,206,6,9,105,105
6,10,4,103,103,206,6,10,105,105
6,11,3,103,103,206,6,9,105,105
6,11,4,103,103,206,6,10,105,105
6,11,5,103,103,206,6,11,105,105
6,12,4,103,103,206,6,10,105,105
6,12,5,103,103,206,6,11,105,105
6,12,6,103,103,206,6,12,105,105
6,13,4,103,103,206,6,10,105,105
6,13,5,103,103,206,6,11,105,105
6,13,6,103,103,206,6,12,105,105
6,13,7,103,103,206,6,13,105,105
6,14,5,103,103,206,6,11,105,105
6,14,6,103,103,206,6,12,105,105
6,14,7,103,103,206,6,13,105,105
6,14,8,103,103,206,6,14,105,105
6,15,5,103,103,206,6,11,105,105
6,15,6,103,103,206,6,12,105,105
6,15,7,103,103,206,6,13,105,105
6,15,8,103,103,206,6,14,105,105
6,15,9,103,103,206,6,15,105,105
6,16,6,103,103,206,6,12,105,105
6,16,7,103,103,206,6,13,105,105
6,16,8,103,103,206,6,14,105,105
6,16,9,103,103,206,6,15,105,105
6,16,10,103,103,206,6,16,105,105
6,17,6,103,103,206,6,12,105,105
6,17,7,103,103,206,6,13,105,105
6,17,8,103,103,206,6,14,105,105
6,17,9,103,103,206,6,15,105,105
6,17,10,103,103,206,6,16,105,105
6,17,11,103,103,206,6,17,105,105
6,18,7,103,103,206,6,13,105,105
6,18,8,103,103,206,6,14,105,105
6,18,9,103,103,206,6,15,105,105
6,18,10,103,103,206,6,16,105,105
6,18,11,103,103,206,6,17,105,105
6,18,12,103,103,206,6,18,105,105
6,19,7,103,103,206,6,13,105,105
6,19,8,103,103,206,6,14,105,105
6,19,9,103,103,206,6,15,105,105
6,19,10,103,103,206,6,16,105,105
6,19,11,103,103,206,6,17,105,105
6,19,12,103,103,206,6,18,105,105
6,19,13,103,103,206,6,19,105,105
6,20,8,103,103,206,6,14,105,105
6,20,9,103,103,206,6,15,105,105
6,20,10,103,103,206,6,16,105,105
6,20,11,103,103,206,6,17,105,105
6,20,12,103,103,206,6,18,105,105
6,20,13,103,103,206,6,19,105,105
6,20,14,103,103,206,6,20,105,105
6,21,8,103,103,206,6,14,105,105
6,21,9,103,103,206,6,15,105,105
6,21,10,103,103,206,6,16,105,105
6,21,11,103,103,206,6,17,105,105
6,21,12,103,103,206,6,18,105,105
6,21,13,103,103,206,6,19,105,105
6,21,14,103,103,206,6,20,105,105
6,21,15,103,103,206,6,21,105,105
6,22,9,103,103,206,6,15,105,105
6,22,10,103,103,206,6,16,105,105
6,22,11,103,103,206,6,17,105,105
6,22,12,103,103,206,6,18,105,105
6,22,13,103,103,206,6,19,105,105
6,22,14,103,103,206,6,20,105,105
6,22,15,103,103,206,6,21,105,105
6,22,16,103,103,206,6,22,105,105
6,23,9,103,103,206,6,15,105,105
6,23,10,103,103,206,6,16,105,105
6,23,11,103,103,206,6,17,105,105
6,23,12,103,103,206,6,18,105,105
6,23,13,103,103,206,6,19,105,105
6,23,14,103,103,206,6,20,105,105
6,23,15,103,103,206,6,21,105,105
6,23,16,103,103,206,6,22,105,105
6,23,17,103,103,206,6,23,105,105
6,24,10,103,103,206,6,16,105,105
6,24,11,103,103,206,6,17,105,105
6,24,12,103,103,206,6,18,105,105
6,24,13,103,103,206,6,19,105,105
6,24,14,103,103,206,6,20,105,105
6,24,15,103,103,206,6,21,105,105
6,24,16,103,103,206,6,22,105,105
6,24,17,103,103,206,6,23,105,105
6,24,18,103,103,206,6,24,105,105
6,25,10,103,103,206,6,16,105,105
6,25,11,103,103,206,6,17,105,105
6,25,12,103,103,206,6,18,105,105
6,25,13,103,103,206,6,19,105,105
6,25,14,103,103,206,6,20,105,105
6,25,15,103,103,206,6,21,105,105
6,25,16,103,103,206,6,22,105,105
