adaptiveThreshWinSizeMin,adaptiveThreshWinSizeMax,adaptiveThreshWinSizeStep,foundA,foundB,Total Found,Thresh1,Thresh2,Cam A Imgs,Cam B Imgs
3,6,3,113,114,227,3,6,120,120
3,7,3,113,114,227,3,6,120,120
3,7,4,113,114,227,3,7,120,120
3,8,3,113,114,227,3,6,120,120
3,8,4,113,114,227,3,7,120,120
3,8,5,113,113,226,3,8,120,120
3,9,4,113,114,227,3,7,120,120
3,9,5,113,113,226,3,8,120,120
3,9,6,113,113,226,3,9,120,120
3,10,4,113,114,227,3,7,120,120
3,10,5,113,113,226,3,8,120,120
3,10,6,113,113,226,3,9,120,120
3,10,7,113,113,226,3,10,120,120
3,11,5,113,113,226,3,8,120,120
3,11,6,113,113,226,3,9,120,120
3,11,7,113,113,226,3,10,120,120
3,11,8,113,113,226,3,11,120,120
3,12,5,113,113,226,3,8,120,120
3,12,6,113,113,226,3,9,120,120
3,12,7,113,113,226,3,10,120,120
3,12,8,113,113,226,3,11,120,120
3,12,9,112,112,224,3,12,120,120
3,13,6,113,113,226,3,9,120,120
3,13,7,113,113,226,3,10,120,120
3,13,8,113,113,226,3,11,120,120
3,13,9,112,112,224,3,12,120,120
3,13,10,112,112,224,3,13,120,120
3,14,6,113,113,226,3,9,120,120
3,14,7,113,113,226,3,10,120,120
3,14,8,113,113,226,3,11,120,120
3,14,9,112,112,224,3,12,120,120
3,14,10,112,112,224,3,13,120,120
3,14,11,111,111,222,3,14,120,120
3,15,7,113,113,226,3,10,120,120
3,15,8,113,113,226,3,11,120,120
3,15,9,112,112,224,3,12,120,120
3,15,10,112,112,224,3,13,120,120
3,15,11,111,111,222,3,14,120,120
3,15,12,111,111,222,3,15,120,120
3,16,7,113,113,226,3,10,120,120
3,16,8,113,113,226,3,11,120,120
3,16,9,112,112,224,3,12,120,120
3,16,10,112,112,224,3,13,120,120
3,16,11,111,111,222,3,14,120,120
3,16,12,111,111,222,3,15,120,120
3,16,13,111,110,221,3,16,120,120
3,17,8,113,113,226,3,11,120,120
3,17,9,112,112,224,3,12,120,120
3,17,10,112,112,224,3,13,120,120
3,17,11,111,111,222,3,14,120,120
3,17,12,111,111,222,3,15,120,120
3,17,13,111,110,221,3,16,120,120
3,17,14,111,110,221,3,17,120,120
3,18,8,113,113,226,3,11,120,120
3,18,9,112,112,224,3,12,120,120
3,18,10,112,112,224,3,13,120,120
3,18,11,111,111,222,3,14,120,120
3,18,12,111,111,222,3,15,120,120
3,18,13,111,110,221,3,16,120,120
3,18,14,111,110,221,3,17,120,120
3,18,15,111,110,221,3,18,120,120
3,19,9,112,112,224,3,12,120,120
3,19,10,112,112,224,3,13,120,120
3,19,11,111,111,222,3,14,120,120
3,19,12,111,111,222,3,15,120,120
3,19,13,111,110,221,3,16,120,120
3,19,14,111,110,221,3,17,120,120
3,19,15,111,110,221,3,18,120,120
3,19,16,111,110,221,3,19,120,120
3,20,9,112,112,224,3,12,120,120
3,20,10,112,112,224,3,13,120,120
3,20,11,111,111,222,3,14,120,120
3,20,12,111,111,222,3,15,120,120
3,20,13,111,110,221,3,16,120,120
3,20,14,111,110,221,3,17,120,120
3,20,15,111,110,221,3,18,120,120
3,20,16,111,110,221,3,19,120,120
3,20,17,111,110,221,3,20,120,120
3,21,10,112,112,224,3,13,120,120
3,21,11,111,111,222,3,14,120,120
3,21,12,111,111,222,3,15,120,120
3,21,13,111,110,221,3,16,120,120
3,21,14,111,110,221,3,17,120,120
3,21,15,111,110,221,3,18,120,120
3,21,16,111,110,221,3,19,120,120
3,21,17,111,110,221,3,20,120,120
3,21,18,111,110,221,3,21,120,120
3,22,10,112,112,224,3,13,120,120
3,22,11,111,111,222,3,14,120,120
3,22,12,111,111,222,3,15,120,120
3,22,13,111,110,221,3,16,120,120
3,22,14,111,110,221,3,17,120,120
3,22,15,111,110,221,3,18,120,120
3,22,16,111,110,221,3,19,120,120
3,22,17,111,110,221,3,20,120,120
3,22,18,111,110,221,3,21,120,120
3,22,19,111,110,221,3,22,120,120
3,23,11,111,111,222,3,14,120,120
3,23,12,111,111,222,3,15,120,120
3,23,13,111,110,221,3,16,120,120
3,23,14,111,110,221,3,17,120,120
3,23,15,111,110,221,3,18,120,120
3,23,16,111,110,221,3,19,120,120
3,23,17,111,110,221,3,20,120,120
3,23,18,111,110,221,3,21,120,120
3,23,19,111,110,221,3,22,120,120
3,23,20,111,110,221,3,23,120,120
3,24,11,111,111,222,3,14,120,120
3,24,12,111,111,222,3,15,120,120
3,24,13,111,110,221,3,16,120,120
3,24,14,111,110,221,3,17,120,120
3,24,15,111,110,221,3,18,120,120
3,24,16,111,110,221,3,19,120,120
3,24,17,111,110,221,3,20,120,120
3,24,18,111,110,221,3,21,120,120
3,24,19,111,110,221,3,22,120,120
3,24,20,111,110,221,3,23,120,120
3,24,21,111,110,221,3,24,120,120
3,25,12,111,111,222,3,15,120,120
3,25,13,111,110,221,3,16,120,120
3,25,14,111,110,221,3,17,120,120
3,25,15,111,110,221,3,18,120,120
3,25,16,111,110,221,3,19,120,120
3,25,17,111,110,221,3,20,120,120
3,25,18,111,110,221,3,21,120,120
3,25,19,111,110,221,3,22,120,120
3,25,20,111,110,221,3,23,120,120
3,25,21,111,110,221,3,24,120,120
3,25,22,111,110,221,3,25,120,120
3,26,12,111,111,222,3,15,120,120
3,26,13,111,110,221,3,16,120,120
3,26,14,111,110,221,3,17,120,120
3,26,15,111,110,221,3,18,120,120
3,26,16,111,110,221,3,19,120,120
3,26,17,111,110,221,3,20,120,120
3,26,18,111,110,221,3,21,120,120
3,26,19,111,110,221,3,22,120,120
3,26,20,111,110,221,3,23,120,120
3,26,21,111,110,221,3,24,120,120
3,26,22,111,110,221,3,25,120,120
3,26,23,111,110,221,3,26,120,120
3,27,13,111,110,221,3,16,120,120
3,27,14,111,110,221,3,17,120,120
3,27,15,111,110,221,3,18,120,120
3,27,16,111,110,221,3,19,120,120
3,27,17,111,110,221,3,20,120,120
3,27,18,111,110,221,3,21,120,120
3,27,19,111,110,221,3,22,120,120
3,27,20,111,110,221,3,23,120,120
3,27,21,111,110,221,3,24,120,120
3,27,22,111,110,221,3,25,120,120
3,27,23,111,110,221,3,26,120,120
3,27,24,111,110,221,3,27,120,120
3,28,13,111,110,221,3,16,120,120
3,28,14,111,110,221,3,17,120,120
3,28,15,111,110,221,3,18,120,120
3,28,16,111,110,221,3,19,120,120
3,28,17,111,110,221,3,20,120,120
3,28,18,111,110,221,3,21,120,120
3,28,19,111,110,221,3,22,120,120
3,28,20,111,110,221,3,23,120,120
3,28,21,111,110,221,3,24,120,120
3,28,22,111,110,221,3,25,120,120
3,28,23,111,110,221,3,26,120,120
3,28,24,111,110,221,3,27,120,120
3,28,25,111,110,221,3,28,120,120
3,29,14,111,110,221,3,17,120,120
3,29,15,111,110,221,3,18,120,120
3,29,16,111,110,221,3,19,120,120
3,29,17,111,110,221,3,20,120,120
3,29,18,111,110,221,3,21,120,120
3,29,19,111,110,221,3,22,120,120
3,29,20,111,110,221,3,23,120,120
3,29,21,111,110,221,3,24,120,120
3,29,22,111,110,221,3,25,120,120
3,29,23,111,110,221,3,26,120,120
3,29,24,111,110,221,3,27,120,120
3,29,25,111,110,221,3,28,120,120
3,29,26,111,110,221,3,29,120,120
4,7,3,118,118,236,4,7,120,120
4,8,3,118,118,236,4,7,120,120
4,8,4,118,118,236,4,8,120,120
4,9,3,118,118,236,4,7,120,120
4,9,4,118,118,236,4,8,120,120
4,9,5,118,118,236,4,9,120,120
4,10,4,118,118,236,4,8,120,120
4,10,5,118,118,236,4,9,120,120
4,10,6,118,118,236,4,10,120,120
4,11,4,118,118,236,4,8,120,120
4,11,5,118,118,236,4,9,120,120
4,11,6,118,118,236,4,10,120,120
4,11,7,118,118,236,4,11,120,120
4,12,5,118,118,236,4,9,120,120
4,12,6,118,118,236,4,10,120,120
4,12,7,118,118,236,4,11,120,120
4,12,8,118,118,236,4,12,120,120
4,13,5,118,118,236,4,9,120,120
4,13,6,118,118,236,4,10,120,120
4,13,7,118,118,236,4,11,120,120
4,13,8,118,118,236,4,12,120,120
4,13,9,118,118,236,4,13,120,120
4,14,6,118,118,236,4,10,120,120
4,14,7,118,118,236,4,11,120,120
4,14,8,118,118,236,4,12,120,120
4,14,9,118,118,236,4,13,120,120
4,14,10,118,118,236,4,14,120,120
4,15,6,118,118,236,4,10,120,120
4,15,7,118,118,236,4,11,120,120
4,15,8,118,118,236,4,12,120,120
4,15,9,118,118,236,4,13,120,120
4,15,10,118,118,236,4,14,120,120
4,15,11,118,118,236,4,15,120,120
4,16,7,118,118,236,4,11,120,120
4,16,8,118,118,236,4,12,120,120
4,16,9,118,118,236,4,13,120,120
4,16,10,118,118,236,4,14,120,120
4,16,11,118,118,236,4,15,120,120
4,16,12,118,118,236,4,16,120,120
4,17,7,118,118,236,4,11,120,120
4,17,8,118,118,236,4,12,120,120
4,17,9,118,118,236,4,13,120,120
4,17,10,118,118,236,4,14,120,120
4,17,11,118,118,236,4,15,120,120
4,17,12,118,118,236,4,16,120,120
4,17,13,118,118,236,4,17,120,120
4,18,8,118,118,236,4,12,120,120
4,18,9,118,118,236,4,13,120,120
4,18,10,118,118,236,4,14,120,120
4,18,11,118,118,236,4,15,120,120
4,18,12,118,118,236,4,16,120,120
4,18,13,118,118,236,4,17,120,120
4,18,14,118,118,236,4,18,120,120
4,19,8,118,118,236,4,12,120,120
4,19,9,118,118,236,4,13,120,120
4,19,10,118,118,236,4,14,120,120
4,19,11,118,118,236,4,15,120,120
4,19,12,118,118,236,4,16,120,120
4,19,13,118,118,236,4,17,120,120
4,19,14,118,118,236,4,18,120,120
4,19,15,118,118,236,4,19,120,120
4,20,9,118,118,236,4,13,120,120
4,20,10,118,118,236,4,14,120,120
4,20,11,118,118,236,4,15,120,120
4,20,12,118,118,236,4,16,120,120
4,20,13,118,118,236,4,17,120,120
4,20,14,118,118,236,4,18,120,120
4,20,15,118,118,236,4,19,120,120
4,20,16,118,118,236,4,20,120,120
4,21,9,118,118,236,4,13,120,120
4,21,10,118,118,236,4,14,120,120
4,21,11,118,118,236,4,15,120,120
4,21,12,118,118,236,4,16,120,120
4,21,13,118,118,236,4,17,120,120
