adaptiveThreshWinSizeMin,adaptiveThreshWinSizeMax,adaptiveThreshWinSizeStep,foundA,foundB,Total Found,Thresh,Cam A Imgs,Cam B Imgs
3,3,3,53,54,107,3,78,78
4,4,4,65,62,127,4,78,78
5,5,5,65,62,127,5,78,78
6,6,6,55,56,111,6,78,78
7,7,7,55,56,111,7,78,78
8,8,8,32,31,63,8,78,78
9,9,9,32,31,63,9,78,78
10,10,10,22,23,45,10,78,78
11,11,11,22,23,45,11,78,78
12,12,12,16,17,33,12,78,78
13,13,13,16,17,33,13,78,78
14,14,14,10,12,22,14,78,78
15,15,15,10,12,22,15,78,78
16,16,16,9,10,19,16,78,78
17,17,17,9,10,19,17,78,78
18,18,18,5,6,11,18,78,78
19,19,19,5,6,11,19,78,78
20,20,20,3,4,7,20,78,78
21,21,21,3,4,7,21,78,78
22,22,22,2,3,5,22,78,78
23,23,23,2,3,5,23,78,78
24,24,24,2,3,5,24,78,78
25,25,25,2,3,5,25,78,78
26,26,26,1,2,3,26,78,78
27,27,27,1,2,3,27,78,78
28,28,28,1,3,4,28,78,78
29,29,29,1,3,4,29,78,78
